contract_symbol,last_trade_date,strike,last,bid,ask,change,percentChange,volume,open_interest,implied_volatility,inTheMoney,contract_size,currency,option_type,expiration,date,underlying,underlying_price,mid_price,bid_ask_spread,spread_pct,days_to_expiration,moneyness,delta,gamma,theta,vega
SPY250729C00615000,2025-07-29 14:18:53+00:00,615.0,20.66,19.44,22.54,-0.6100006,-2.8678918,60.0,125,0.6110878735351564,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,20.990000000000002,3.099999999999998,0.1476893758932824,0,0.9669122804929985,0.6102923983566719,3.0934900666581896e-05,-0.0,0.0
SPY250729P00615000,2025-07-29 16:30:13+00:00,615.0,0.01,0.0,0.01,-0.01,-50.0,27721.0,1869,0.242195078125,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0342199806275407,-0.3897076016433281,3.0934900666581896e-05,-0.0,0.0
SPY250729C00616000,2025-07-29 16:57:31+00:00,616.0,20.05,20.25,20.5,-0.12000084,-0.59494716,4.0,61,0.42529871582031253,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,20.375,0.25,0.012269938650306749,0,0.9684844955832309,0.6050516813892302,3.097420139643124e-05,-0.0,0.0
SPY250729P00616000,2025-07-29 16:30:00+00:00,616.0,0.01,0.0,0.01,-0.02,-66.66667,18944.0,1359,0.23438265625,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0325410520875609,-0.39494831861076984,3.097420139643124e-05,-0.0,0.0
SPY250729C00617000,2025-07-29 16:07:32+00:00,617.0,19.23,19.24,19.47,-0.069999695,-0.36269274,6.0,45,0.4023497265625,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,19.354999999999997,0.23000000000000043,0.011883234306380804,0,0.9700567106734634,0.5998109644217884,3.1011635585260724e-05,-0.0,0.0
SPY250729P00617000,2025-07-29 16:58:40+00:00,617.0,0.01,0.0,0.01,-0.01,-50.0,1198.0,1660,0.22266402343749997,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0308675657794772,-0.4001890355782116,3.1011635585260724e-05,-0.0,0.0
SPY250729C00618000,2025-07-28 18:06:20+00:00,618.0,17.11,18.24,18.45,-0.65999985,-3.714124,16.0,32,0.3813538427734374,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,18.345,0.21000000000000085,0.011447260834014764,0,0.971628925763696,0.5945702474543467,3.1047196347986063e-05,-0.0,0.0
SPY250729P00618000,2025-07-29 17:00:37+00:00,618.0,0.01,0.01,0.02,-0.02,-66.66667,1328.0,1519,0.22852333984375,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.015,0.01,0.6666666666666667,0,1.0291994952846886,-0.4054297525456533,3.1047196347986063e-05,-0.0,0.0
SPY250729C00619000,2025-07-29 14:10:27+00:00,619.0,18.7,17.25,17.43,1.6800003,9.870742,4.0,16,0.36084623535156246,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,17.34,0.17999999999999972,0.010380622837370226,0,0.9732011408539285,0.589329530486905,3.1080877138920586e-05,-0.0,0.0
SPY250729P00619000,2025-07-29 16:23:39+00:00,619.0,0.01,0.01,0.02,-0.02,-66.66667,687.0,1076,0.21680470703125,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.015,0.01,0.6666666666666667,0,1.027536814355311,-0.41067046951309505,3.1080877138920586e-05,-0.0,0.0
